0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:59 +0900] "GET /sistSemiProject/jeju/%EC%87%A0%EC%86%8C%EA%B9%8D.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:59 +0900] "GET /sistSemiProject/jeju/%EC%A0%95%EB%B0%A9%ED%8F%AD%ED%8F%AC.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:59 +0900] "GET /sistSemiProject/jeju/parnas.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:59 +0900] "GET /sistSemiProject/jeju/dongmun.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:59 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:59 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:40:59 +0900] "GET /sistSemiProject/jeju/left.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:11 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/detailRecomCourse.jsp?name=%ED%9E%90%EB%A7%81 HTTP/1.1" 200 18220
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:11 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:11 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:11 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:11 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:19 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/detailRecomCourse.jsp?name=%ED%9E%90%EB%A7%81 HTTP/1.1" 200 18218
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:19 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:19 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:20 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:20 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:22 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/recomLoginForm.jsp?name=%ED%9E%90%EB%A7%81 HTTP/1.1" 200 13687
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:22 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:22 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:22 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:22 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:22 +0900] "GET /sistSemiProject/image/b1.JPG HTTP/1.1" 404 843
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:24 +0900] "POST /sistSemiProject/recomCourse/recomLoginAction.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:25 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/detailRecomCourse.jsp&name=%ED%9E%90%EB%A7%81 HTTP/1.1" 200 18637
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:25 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:25 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:25 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:41:25 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:25 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/detailRecomCourse.jsp&name=%ED%9E%90%EB%A7%81 HTTP/1.1" 200 18678
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:25 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:25 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:25 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:25 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:30 +0900] "GET /sistSemiProject/index.jsp?main=login/logoutAction.jsp HTTP/1.1" 200 7593
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:30 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:30 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:31 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:31 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:31 +0900] "POST /sistSemiProject/myCourse/deleteTemp.jsp HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:31 +0900] "GET /sistSemiProject/index.jsp HTTP/1.1" 200 29771
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:31 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:31 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:31 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:31 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:33 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/recomCourseList.jsp HTTP/1.1" 200 9778
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:33 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:33 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:33 +0900] "GET /sistSemiProject/menu/js/jquery.js HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:33 +0900] "GET /sistSemiProject/menu/js/function.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [20/Sep/2023:08:43:34 +0900] "GET /sistSemiProject/index.jsp?main=recomCourse/detailRecomCourse.jsp?name=%ED%9E%90%EB%A7%81 HTTP/1.1" 200 18259
